entid,CaseType,Probability,lime
694908503,4,[0.11806458 0.48107293 0.12412156 0.27674094],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
368305758,3,[0.01860296 0.02376331 0.02236359 0.93527014],"[('LIMPARNUM <= 0.00', 0.16970534203240073), ('BUSST > 11.00', 0.16884200816972447), ('registertype > 8.00', -0.1545352651962362), ('certificate_num > 0.00', -0.13298951745753612), ('tax_state_1 > 0.00', 0.12062868353308796), ('province_5 > 0.00', 0.12062868353308794), ('tax_type_abnormal_4 > 0.00', 0.1206286835330879), ('ttype_abnormal_2 > 0.00', -0.11978024658570792), ('taxtype5 <= 0.00', -0.10466488487108873), ('taxtype0 <= 0.00', -0.07269420606781693)]"
615971298,4,[0.12997044 0.19994063 0.40672572 0.26336321],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
1064559629,3,[0.09789365 0.23192974 0.06420169 0.60597493],"[('0.00 < BUSST <= 9.91', -0.33331020463368644), ('registertype > 8.00', -0.14658981690031256), ('certificate_num <= 0.00', 0.13510574429832237), ('taxtype2 <= 0.00', 0.11583133972022347), ('illegad_num <= 0.00', 0.10233015667454173), ('so1 <= 0.00', 0.08143534999062403), ('EXENUM <= 0.00', 0.06675386627712879), ('taxtype6 <= 0.00', 0.05827253123036576), ('LIMPARNUM <= 0.00', 0.056637054737657885), ('honor_num <= 0.00', -0.02118054470297644)]"
1101944932,1,[0.05229481 0.7109477  0.09492724 0.14183025],"[('0.00 < BUSST <= 9.91', 0.14361017898801), ('INDUSTRYPHY <= 10.00', 0.12162815500394482), ('taxtype9 > 0.00', 0.10286678503145717), ('province_0 > 0.00', 0.10286678503145716), ('registertype > 8.00', 0.09756974911710996), ('web_dum <= 0.00', -0.07459785956546783), ('taxtype2 <= 0.00', -0.07449123068293204), ('taxtype5 <= 0.00', 0.05649884754641219), ('CONAM_delta <= 0.00', -0.055593188563598246), ('honor_num <= 0.00', 0.044366287782800946)]"
63165459,4,[0.09889025 0.35191793 0.18045392 0.3687379 ],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
790389876,4,[0.06352323 0.39084368 0.0471914  0.49844168],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
914550718,1,[0.02360957 0.89876802 0.02957591 0.0480465 ],"[('taxtype9 > 0.00', 0.16684104049407186), ('province_0 > 0.00', 0.16684104049407184), ('0.00 < BUSST <= 9.91', 0.13412455091411593), ('INDUSTRYPHY <= 10.00', 0.1266992204646166), ('registertype > 8.00', 0.09681009484523118), ('taxtype2 <= 0.00', 0.05913045277195712), ('taxtype1 <= 0.00', -0.05730741155725225), ('taxtype0 <= 0.00', 0.0567389922010562), ('web_dum <= 0.00', -0.055913595464838026), ('CONAM_delta <= 0.00', -0.049197999742519684)]"
518382911,4,[0.0954113  0.38971516 0.34445089 0.17042265],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
941804680,4,[0.1227677  0.42630298 0.13388954 0.31703978],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
708538081,0,[0.52324063 0.05548802 0.13750453 0.28376681],"[('0.00 < BUSST <= 9.91', 0.10182951460754558), ('tax_type_abnormal_4 > 0.00', 0.08924479934579853), ('tax_state_1 > 0.00', 0.08924479934579851), ('province_5 > 0.00', 0.08924479934579846), ('entertype_tax <= -1.00', -0.0829162817000562), ('taxtype6 <= 0.00', 0.07088443116314484), ('taxtype4 <= 0.00', -0.06744413508661064), ('LIMPARNUM <= 0.00', 0.06280425968205935), ('region_id <= 68.00', 0.057226939722109904), ('taxtype5 <= 0.00', 0.04787243164302494)]"
159872005,3,[0.15828779 0.03321002 0.04342478 0.76507741],"[('taxtype3 <= 0.00', 0.19249374058754584), ('BUSST > 11.00', 0.18638031034765637), ('registertype <= 8.00', 0.15811507295616997), ('taxtype5 <= 0.00', 0.15096367815251951), ('certificate_num <= 0.00', 0.1411853741082888), ('taxtype0 <= 0.00', 0.12236258185174215), ('illegad_num <= 0.00', -0.10383407178942318), ('taxtype2 <= 0.00', 0.07321881683325018), ('taxtype6 <= 0.00', 0.052800960068950534), ('taxtype1 <= 0.00', -0.015518554438520883)]"
1183518695,4,[0.11441819 0.3948549  0.26032622 0.23040069],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
996056694,3,[0.06929523 0.23618383 0.16600017 0.52852077],"[('0.00 < BUSST <= 9.91', -0.3093473112540812), ('registertype > 8.00', -0.1774127277368556), ('taxtype2 <= 0.00', 0.15078340823044217), ('certificate_num <= 0.00', 0.12427016480782639), ('PROGRO <= 3076.90', -0.0852151937958264), ('tax_dum <= 0.00', 0.07662080246521524), ('ALTTIME > 9.00', -0.07468174464373442), ('province_0 > 0.00', 0.07222635699402616), ('tax_type_abnormal_2 > 0.00', 0.07222635699402614), ('taxtype9 > 0.00', 0.07222635699402613)]"
724805518,1,[0.12967372 0.60020194 0.07325086 0.19687348],"[('0.00 < BUSST <= 9.91', 0.15632266017706214), ('registertype > 8.00', 0.11217961237114724), ('taxtype3 <= 0.00', 0.10009072257202781), ('taxtype6 <= 0.00', -0.09678758828738189), ('EXENUM <= 0.00', -0.08106253417058505), ('taxtype4 <= 0.00', 0.06143435819894435), ('honor_num <= 0.00', 0.05737192222341966), ('ttype_abnormal_2 <= 0.00', 0.0572148281951435), ('web_dum <= 0.00', -0.0566516413766987), ('LIMPARNUM <= 0.00', 0.05056899709949908)]"
85580779,4,[0.06542247 0.43609654 0.36751816 0.13096282],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
159559301,1,[0.0395622  0.81212189 0.07000354 0.07831237],"[('0.00 < BUSST <= 9.91', 0.14246471766773586), ('tax_state_3 > 0.00', 0.13242473808087335), ('tax_type_abnormal_4 > 0.00', 0.13242473808087302), ('INDUSTRYPHY <= 10.00', 0.12483983878845363), ('taxtype2 <= 0.00', 0.11031463377946923), ('registertype > 8.00', 0.10478762554673267), ('web_dum <= 0.00', -0.07128932277286122), ('LIMPARNUM <= 0.00', 0.06776777745230064), ('taxtype4 <= 0.00', 0.047741997240530465), ('taxtype3 <= 0.00', 0.042688356108195276)]"
403721550,1,[0.096003   0.57858981 0.1115433  0.21386389],"[('0.00 < BUSST <= 9.91', 0.15677667790967353), ('EXENUM <= 0.00', -0.10725306188029594), ('registertype > 8.00', 0.10461440681040814), ('taxtype2 <= 0.00', 0.0906002144893624), ('tax_type_abnormal_4 > 0.00', 0.08045701899524563), ('tax_state_3 > 0.00', 0.08045701899524413), ('honor_num <= 0.00', -0.08043429990605316), ('TRANSAM_delta <= 5.49', -0.07444752752767167), ('taxtype4 <= 0.00', 0.06365646193243991), ('web_dum <= 0.00', -0.062339117972078)]"
834914998,1,[0.02730714 0.7322591  0.2111057  0.02932807],"[('LIMPARNUM <= 0.00', -0.15521965842055369), ('0.00 < BUSST <= 9.91', 0.13912014333079178), ('INDUSTRYPHY <= 10.00', 0.12497564102521302), ('tax_state_3 > 0.00', 0.12434813720116815), ('tax_type_abnormal_4 > 0.00', 0.12434813720116812), ('EXENUM <= 0.00', -0.12181680665365335), ('registertype > 8.00', 0.10132906415154767), ('taxtype4 <= 0.00', 0.08479035349972883), ('web_dum <= 0.00', -0.06870533669172554), ('ttype_abnormal_2 > 0.00', -0.05131279832681907)]"
40431646,3,[0.07548962 0.21948526 0.18163103 0.52339409],"[('0.00 < BUSST <= 9.91', -0.3281757169762874), ('registertype <= 8.00', 0.15803623583569446), ('certificate_num <= 0.00', 0.12254792426149935), ('tax_dum <= 0.00', 0.11158445335000751), ('taxtype4 <= 0.00', 0.0917163958756316), ('taxtype2 <= 0.00', 0.0822237105814529), ('so1 <= 0.00', 0.07653405202779555), ('taxtype0 <= 0.00', 0.07232003430173002), ('tax_state_3 > 0.00', 0.016991624382185728), ('tax_type_abnormal_4 > 0.00', 0.016991624382185724)]"
392017860,3,[0.02478565 0.0359873  0.04616256 0.89306449],"[('taxtype6 <= 0.00', 0.17469767649550838), ('BUSST > 11.00', 0.16710518062832938), ('registertype > 8.00', -0.1533042234967358), ('taxtype2 <= 0.00', 0.1477210670606118), ('certificate_num <= 0.00', 0.1196159633181519), ('LIMPARNUM <= 0.00', -0.11530390225637244), ('tax_dum <= 0.00', -0.10551136188396283), ('tax_type_abnormal_4 > 0.00', 0.09660225210212348), ('honor_num <= 0.00', -0.08698256290903235), ('taxtype0 <= 0.00', 0.07125660967316755)]"
694488174,1,[0.06916049 0.68246279 0.08960424 0.15877248],"[('0.00 < BUSST <= 9.91', 0.1484497360224108), ('tax_type_abnormal_4 > 0.00', 0.11786516933830156), ('tax_state_3 > 0.00', 0.11786516933830156), ('registertype > 8.00', 0.09862424730935046), ('ttype_abnormal_2 <= 0.00', -0.08442617685975805), ('taxtype6 <= 0.00', 0.08439244183103735), ('taxtype3 <= 0.00', 0.0681853800110096), ('taxtype1 <= 0.00', 0.04924635154188493), ('tax_dum <= 0.00', 0.03804354489061306), ('LIMPARNUM <= 0.00', -0.03688123211617553)]"
1031468583,3,[0.00762534 0.01659506 0.03367805 0.94210155],"[('BUSST > 11.00', 0.17439155245675247), ('registertype > 8.00', -0.1713866449761567), ('taxtype1 <= 0.00', 0.16897816701414334), ('taxtype6 <= 0.00', -0.15351577106995778), ('LIMPARNUM <= 0.00', -0.1422902016702668), ('certificate_num <= 0.00', 0.11600135689203181), ('tax_dum <= 0.00', -0.10612020794413415), ('tax_state_3 > 0.00', 0.08586997019971318), ('tax_type_abnormal_4 > 0.00', 0.08586997019971312), ('PROGRO <= 3076.90', 0.0768686358359)]"
1234077177,3,[0.03435859 0.20881094 0.15532581 0.60150466],"[('0.00 < BUSST <= 9.91', -0.32059745194699457), ('taxtype1 <= 0.00', 0.18613173289429472), ('region_id > 348.50', 0.17962105239792728), ('LIMPARNUM <= 0.00', 0.16412443827337078), ('registertype > 8.00', -0.15801517709061827), ('taxtype3 <= 0.00', -0.13547569664324383), ('taxtype4 <= 0.00', -0.13371198142536941), ('EXENUM <= 0.00', 0.12783893741111158), ('certificate_num <= 0.00', 0.12687823063213247), ('ttype_abnormal_2 > 0.00', -0.08200214794782636)]"
725319392,1,[0.05006362 0.50657827 0.25958771 0.1837704 ],"[('0.00 < BUSST <= 9.91', 0.1529729100494401), ('INDUSTRYPHY <= 10.00', 0.12236553047439534), ('registertype > 8.00', 0.0950074323037048), ('EXENUM <= 0.00', -0.0840017317871584), ('region_id > 348.50', -0.07405696635534714), ('honor_num <= 0.00', -0.05316414321221608), ('LIMPARNUM <= 0.00', -0.039996069819136684), ('tax_state_3 > 0.00', 0.036364642974522715), ('province_5 > 0.00', 0.03636464297452028), ('tax_type_abnormal_4 > 0.00', 0.03636464297452028)]"
659104221,1,[0.04737906 0.53395157 0.08866687 0.3300025 ],"[('EXENUM <= 0.00', -0.15695989230148066), ('0.00 < BUSST <= 9.91', 0.15449373197524466), ('INDUSTRYPHY <= 10.00', 0.11817039918845512), ('taxtype6 <= 0.00', -0.11440034200747463), ('registertype <= 8.00', -0.0975475112277577), ('tax_type_abnormal_4 > 0.00', 0.05433271777782311), ('tax_state_3 > 0.00', 0.05433271777782311), ('province_5 > 0.00', 0.05433271777782309), ('taxtype5 <= 0.00', -0.04083075230633226), ('honor_num <= 0.00', -0.012711502728247757)]"
68687328,3,[0.05479373 0.20468366 0.17796417 0.56255843],"[('0.00 < BUSST <= 9.91', -0.32853711437165584), ('region_id > 348.50', 0.19123205702381033), ('registertype > 8.00', -0.16436244506947123), ('taxtype6 <= 0.00', 0.14308744731090564), ('honor_num <= 0.00', -0.1366747901615231), ('EXENUM <= 0.00', 0.12910226552809353), ('certificate_num <= 0.00', 0.1253327498561064), ('taxtype3 <= 0.00', 0.11327727250586396), ('taxtype0 <= 0.00', -0.10751328133739066), ('illegad_num <= 0.00', -0.06325292565634359)]"
166869326,4,[0.06108827 0.33397581 0.14960645 0.45532948],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
1194794368,1,[0.04893824 0.68439576 0.03654249 0.23012351],"[('0.00 < BUSST <= 9.91', 0.14566474313100797), ('INDUSTRYPHY <= 10.00', 0.11078972557978543), ('taxtype2 <= 0.00', -0.11039979310530028), ('registertype > 8.00', 0.1100017400249112), ('tax_state_3 > 0.00', 0.08286634634296307), ('tax_type_abnormal_4 > 0.00', 0.08286634634296304), ('province_5 > 0.00', 0.08286634634296297), ('region_id > 348.50', -0.07767402224098639), ('web_dum <= 0.00', -0.06682353712179044), ('taxtype1 <= 0.00', -0.03544421630615378)]"
701620490,3,[0.00923833 0.04922684 0.05707542 0.88445941],"[('region_id > 348.50', 0.19812280742413216), ('BUSST > 11.00', 0.16272746124709464), ('registertype > 8.00', -0.14826562531415213), ('EXENUM <= 0.00', 0.14376238893962706), ('certificate_num <= 0.00', 0.12781142349419394), ('taxtype4 <= 0.00', -0.1134481935311074), ('taxtype6 <= 0.00', 0.10124216399440113), ('province_1 <= 0.00', 0.09902396356595762), ('taxtype3 <= 0.00', -0.08577200832990856), ('taxtype2 <= 0.00', -0.07931183898137709)]"
739378963,1,[0.03997487 0.62499296 0.17215343 0.16287875],"[('0.00 < BUSST <= 9.91', 0.14733956175833585), ('INDUSTRYPHY <= 10.00', 0.12183117245170413), ('registertype > 8.00', 0.11303320824323661), ('region_id > 348.50', -0.07430016488476193), ('province_5 > 0.00', 0.06371768792723465), ('tax_state_3 > 0.00', 0.06371768792723462), ('tax_type_abnormal_4 > 0.00', 0.06371768792723287), ('taxtype5 <= 0.00', 0.060055988198458275), ('taxtype3 <= 0.00', -0.03614856983919818), ('honor_num <= 0.00', -0.027732423767769555)]"
25272201,1,[0.02780695 0.75692266 0.12607285 0.08919753],"[('0.00 < BUSST <= 9.91', 0.13671297343225722), ('province_5 > 0.00', 0.13024435161356276), ('tax_state_3 > 0.00', 0.13024435161356226), ('tax_type_abnormal_4 > 0.00', 0.13024435161356215), ('10.00 < INDUSTRYPHY <= 11.00', -0.1158621117293201), ('taxtype0 <= 0.00', 0.11213066191993792), ('registertype > 8.00', 0.10470588489147316), ('taxtype4 <= 0.00', 0.07549372337121263), ('region_id > 348.50', -0.07228330657429499), ('tax_dum <= 0.00', 0.023543158214939366)]"
1213633567,3,[0.05282257 0.16337031 0.07753558 0.70627155],"[('BUSST > 11.00', 0.17377111514172064), ('region_id > 348.50', 0.16965604857229533), ('registertype > 8.00', -0.16686818868623657), ('taxtype4 <= 0.00', -0.1559746981150512), ('certificate_num <= 0.00', 0.12925788089228074), ('taxtype5 <= 0.00', -0.12241758590534377), ('province_1 <= 0.00', -0.10634191018319195), ('year > 7.00', -0.08440972664222718), ('so1 <= 0.00', 0.08128375621373221), ('honor_num <= 0.00', -0.06545852849385096)]"
138874014,3,[0.00759042 0.01467773 0.03352428 0.94420757],"[('BUSST > 11.00', 0.1838715605082526), ('region_id > 348.50', 0.1772583169702574), ('registertype > 8.00', -0.16850673571425753), ('honor_num <= 0.00', 0.15542158541817636), ('certificate_num <= 0.00', 0.12108475101749706), ('taxtype2 <= 0.00', -0.10099398655860412), ('province_1 <= 0.00', 0.09387198216176434), ('taxtype5 <= 0.00', 0.09115922631802399), ('taxtype3 <= 0.00', 0.09010290542255679), ('tax_dum <= 0.00', -0.0469849275263298)]"
246779029,4,[0.07745522 0.22546411 0.20920356 0.48787712],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
624346306,3,[0.08765922 0.10882458 0.10224709 0.7012691 ],"[('BUSST > 11.00', 0.18277100317069123), ('region_id > 348.50', 0.18071578801125537), ('taxtype2 <= 0.00', 0.17880028126151767), ('registertype > 8.00', -0.15592298956301692), ('taxtype0 <= 0.00', 0.1534658033174731), ('LIMPARNUM <= 0.00', 0.15308851431307155), ('certificate_num > 0.00', -0.15187559530581582), ('honor_num <= 0.00', 0.1353368562705794), ('ttype_abnormal_2 > 0.00', -0.13532620293243053), ('province_5 > 0.00', 0.06904192949657469)]"
866893485,3,[0.01325152 0.0485888  0.02914373 0.90901595],"[('BUSST > 11.00', 0.1977159907395012), ('taxtype6 <= 0.00', 0.15701866528136993), ('registertype <= 8.00', 0.1551913234999297), ('EXENUM <= 0.00', 0.1516164556836621), ('certificate_num <= 0.00', 0.13917036055217094), ('PROGRO <= 3076.90', 0.10938285250275609), ('taxtype2 <= 0.00', -0.10591359170971933), ('taxtype1 <= 0.00', -0.10069097766218647), ('taxtype3 <= 0.00', -0.09860591126115242), ('LIMPARNUM <= 0.00', -0.07999337774587018)]"
756490410,1,[0.01067108 0.86152185 0.01476205 0.11304502],"[('0.00 < BUSST <= 9.91', 0.1443356528910516), ('tax_state_3 > 0.00', 0.13699163615598606), ('tax_type_abnormal_4 > 0.00', 0.13699163615598603), ('province_5 > 0.00', 0.136991636155986), ('INDUSTRYPHY <= 10.00', 0.1248329732140447), ('registertype <= 8.00', -0.10078118332825173), ('taxtype4 <= 0.00', -0.09777124083906404), ('EXENUM <= 0.00', -0.08114898504625077), ('tax_dum <= 0.00', -0.04252985799332716), ('taxtype2 <= 0.00', 0.03784913859034163)]"
806793229,3,[0.01301176 0.03672808 0.09025699 0.86000317],"[('BUSST > 11.00', 0.16601192293866823), ('registertype > 8.00', -0.16560373532060363), ('region_id > 348.50', 0.16466428223867305), ('taxtype3 <= 0.00', -0.13551431905419553), ('certificate_num <= 0.00', 0.12903071817510556), ('taxtype1 <= 0.00', -0.1183390938242463), ('tax_dum <= 0.00', -0.09921737255436214), ('so1 <= 0.00', 0.08629813089933915), ('TRANSAM_delta <= 5.49', 0.08216511968475745), ('LIMPARNUM <= 0.00', 0.06055335913832661)]"
634715264,3,[0.00864113 0.02197317 0.03939734 0.92998837],"[('region_id > 348.50', 0.17559518680996372), ('registertype > 8.00', -0.16144813599175437), ('BUSST > 11.00', 0.1575283719887276), ('taxtype4 <= 0.00', 0.1559295534698575), ('EXENUM <= 0.00', 0.10481553114546731), ('certificate_num <= 0.00', 0.10033193338985956), ('taxtype1 <= 0.00', -0.08712581446731811), ('TRANSAM_delta <= 5.49', -0.08395005728539162), ('ttype_abnormal_2 > 0.00', -0.07800958890207188), ('taxtype0 <= 0.00', 0.06584713379693902)]"
979782641,1,[0.03658874 0.56655165 0.27745789 0.11940172],"[('0.00 < BUSST <= 9.91', 0.1556515228227998), ('INDUSTRYPHY <= 10.00', 0.12167200119833362), ('registertype > 8.00', 0.11569490621753337), ('EXENUM <= 0.00', -0.10530115957640045), ('region_id > 348.50', -0.07956437150557404), ('taxtype3 <= 0.00', -0.06166877201941444), ('web_dum <= 0.00', -0.056576404795580036), ('taxtype0 <= 0.00', 0.03939317541879346), ('taxtype2 <= 0.00', -0.025173829111948567), ('taxtype5 <= 0.00', 0.021722239696229138)]"
1184142613,1,[0.05353108 0.70897715 0.18056317 0.05692859],"[('taxtype6 <= 0.00', -0.1421731581748056), ('0.00 < BUSST <= 9.91', 0.14142738686445153), ('EXENUM <= 0.00', -0.13165485066467972), ('INDUSTRYPHY <= 10.00', 0.10849313306807111), ('registertype > 8.00', 0.09871764079935091), ('tax_state_3 > 0.00', 0.0907551834923334), ('tax_type_abnormal_4 > 0.00', 0.09075518349233333), ('province_6 > 0.00', 0.0907551834923331), ('region_id > 348.50', -0.06643983293300391), ('LIMPARNUM <= 0.00', 0.06119087607932218)]"
549190134,3,[0.00834769 0.02561306 0.00959355 0.95644569],"[('taxtype6 <= 0.00', -0.21959537552916714), ('BUSST > 11.00', 0.18629237459668904), ('region_id > 348.50', 0.17240567039468085), ('registertype > 8.00', -0.15916713433935623), ('EXENUM <= 0.00', 0.12434129597629291), ('certificate_num <= 0.00', 0.11080831000043061), ('taxtype1 <= 0.00', -0.10263717303583096), ('ttype_abnormal_2 <= 0.00', 0.09939940447315697), ('PROGRO <= 3076.90', -0.08744753670878895), ('taxtype3 <= 0.00', -0.07448314560452358)]"
1018645353,1,[0.07594431 0.62223508 0.08285794 0.21896267],"[('taxtype5 <= 0.00', -0.16843383508894158), ('0.00 < BUSST <= 9.91', 0.14364367494567218), ('taxtype0 <= 0.00', -0.13675369393872458), ('INDUSTRYPHY <= 10.00', 0.12235869120095942), ('registertype > 8.00', 0.11580812184898123), ('tax_dum <= 0.00', -0.08616077292660412), ('web_dum <= 0.00', -0.07932665902494898), ('taxtype2 <= 0.00', 0.07294177133593863), ('EXENUM <= 0.00', -0.07057013978122674), ('taxtype1 <= 0.00', 0.05660364625925546)]"
5503066,3,[0.08425243 0.29898478 0.04697967 0.56978311],"[('0.00 < BUSST <= 9.91', -0.322943590288977), ('LIMPARNUM <= 0.00', 0.233649167667464), ('region_id > 348.50', 0.18504826482425984), ('registertype > 8.00', -0.17033449209858093), ('certificate_num <= 0.00', 0.1212724369836971), ('taxtype5 <= 0.00', 0.09129302033242417), ('so1 <= 0.00', 0.07441874121830865), ('taxtype6 <= 0.00', -0.06892994229637196), ('EXENUM <= 0.00', 0.06269954631310859), ('taxtype1 <= 0.00', 0.05066711536503359)]"
1019081039,4,[0.07797898 0.44035443 0.3466352  0.13503139],"[(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' '),(' ',' ')]"
