entid,cluster
812878373,-1
1091324178,97
100724777,333
49248100,360
383725886,216
367450094,-1
555379255,-1
722371308,536
452839142,-1
777742525,-1
846726609,572
812917663,-1
1073178288,-1
693178549,-1
1056744242,-1
1056104267,628
514970252,179
472345411,-1
1099944224,100
1005862635,-1
684700995,139
946456871,-1
48575777,360
462302367,-1
763750395,13
539249850,-1
1115303505,646
173029290,682
441765111,-1
11205016,-1
745438195,7
526477932,-1
60979854,357
498057160,183
809102913,561
187604515,401
758426890,-1
307660534,238
736872976,540
326148200,-1
379903178,457
1145631240,653
405913588,-1
514122347,-1
21353430,-1
362629829,-1
382159053,217
583466033,-1
226913252,-1
1078631143,-1
136500135,-1
818398368,564
94271564,298
944558367,-1
932880239,-1
455084325,193
116240026,291
984529244,69
983261987,69
1045264405,-1
405772950,209
302679959,-1
621618410,154
1222576927,-1
487563039,-1
998075079,337
593657932,503
554880393,-1
705753384,533
160269670,279
676189079,-1
763370734,549
306996078,238
537029244,492
944022186,-1
396267526,-1
799671424,23
186538560,272
95898023,-1
1219183525,-1
324866006,444
433969154,468
799922760,-1
816874677,-1
684093862,139
195302966,-1
892694309,-1
614565167,155
475450247,342
762079516,-1
248782102,-1
86243682,-1
237837675,255
1220302924,129
531110945,-1
1160943141,114
1232555365,-1
78642515,351
76279900,-1
1019500459,78
189065102,-1
382534246,217
1104563783,-1
773323605,-1
1142166762,652
1165654536,659
302040379,240
317176006,442
61871703,-1
201850712,-1
885962709,585
964467324,-1
103516653,327
139799966,387
794816216,556
28662278,-1
542191120,492
1040575021,-1
459492445,-1
585235322,163
1173560636,662
993864679,-1
139384044,285
427392002,-1
57725337,-1
693174184,-1
614335097,155
1195258046,123
829845602,-1
234681025,-1
500017300,483
1047628915,-1
369163140,455
1077476512,-1
512128673,-1
140640476,387
948005434,-1
719763169,-1
37617308,-1
130282504,-1
489262081,-1
596208138,-1
176727429,275
265614241,249
440892289,200
902108488,680
259889018,-1
1203398087,-1
580851840,499
329503003,232
637947059,-1
99956621,296
785748365,554
568353475,-1
184209669,-1
1123483716,106
1214870581,671
922234570,-1
528260670,175
594638990,-1
1078284388,-1
235368607,256
569722001,-1
428132360,204
684358011,139
451366452,-1
372559463,220
109489448,372
553554663,494
184623809,-1
171664728,396
393460655,213
1049657641,-1
353945399,-1
597286220,-1
422431140,466
894061673,46
295881778,241
626448476,153
291480956,243
650810265,-1
848221357,573
224973668,416
707443225,-1
651165131,-1
239387936,255
943844508,596
608621770,-1
1219852643,-1
567249831,-1
166396479,393
1096349518,-1
1195389205,-1
124839584,-1
349096361,227
358053123,451
775644811,552
306578626,-1
285080998,-1
494104735,-1
838642117,33
1123399373,106
444387085,198
1180567864,120
989495682,608
467123711,-1
909127902,-1
1067671809,89
445721501,198
421422291,206
818086962,29
790049957,20
383461362,-1
580445256,-1
1156537609,113
246373582,-1
996594892,72
762928999,-1
547258534,-1
349529306,227
661787150,-1
1126254280,107
791344126,20
441124354,200
421321441,347
792215638,556
155139423,390
1153772055,655
850188918,-1
1049991241,-1
470153731,477
393529853,-1
373656494,-1
1139812428,110
1088282626,96
156034111,390
179446761,398
318948525,442
1128353913,-1
566363148,-1
569888186,168
671881888,525
282175715,431
956099153,-1
631118389,513
302069575,-1
216813236,-1
42102154,-1
461485614,475
637207745,-1
205948444,-1
971775807,-1
1004161783,-1
902038745,48
994414322,71
996805282,-1
1040923808,623
485437330,-1
998298948,72
757960207,-1
962456855,-1
7575023,323
641985686,-1
564800278,-1
281344848,430
298562678,-1
947931983,-1
60465899,357
342760793,448
253363228,424
421844157,-1
992605357,610
71965709,-1
150481980,-1
399528357,-1
1122765323,-1
368750990,455
702479838,135
271743487,248
441659645,-1
1060869475,-1
387011347,215
992743801,610
630153635,-1
1002877622,-1
960190859,600
64250574,-1
832373586,31
334420967,-1
145669153,283
123468044,-1
1064970384,89
266873316,-1
117777861,290
1178585909,664
211873984,262
764214585,549
140294893,-1
128976427,384
186900972,-1
452584000,-1
962571330,64
154380173,-1
738718558,541
922668334,-1
529391715,681
973296977,-1
255811528,251
1134393147,-1
570711046,497
907595559,-1
195069391,404
546531844,-1
381660897,-1
1121810685,647
594943902,-1
391063879,-1
972156058,-1
251810305,424
133586457,-1
490026099,481
191099842,270
104267398,295
1176566336,663
837635963,33
606504255,-1
384648638,216
838184213,570
7377264,323
825477088,566
786701431,-1
976354493,603
784581558,-1
642083882,516
456970959,-1
744841992,-1
20831715,319
1018107647,616
919697829,590
852094752,-1
947771826,-1
1063323273,-1
1116637957,646
831141326,568
225147557,259
900717832,48
667545069,144
504391981,-1
640968401,-1
840403226,33
640404632,-1
1148446302,653
189649353,271
657953784,146
655472086,147
329392251,232
585061007,500
898701399,-1
58376144,358
31941495,317
546141373,-1
30175838,-1
554966420,-1
1035989298,-1
581937099,499
179106224,274
899814218,-1
1033402687,-1
899638937,-1
1203097851,-1
190325109,-1
1132590901,109
1030391762,621
618747153,510
667474405,-1
773317985,-1
670284943,143
1181800806,-1
196721152,-1
895149898,46
1093624326,-1
816255640,563
548859650,171
714555175,-1
487304017,-1
1053475875,-1
731159851,1
1220391198,129
344806569,229
119477212,374
325013274,233
1030747371,82
733767486,-1
31035457,-1
1071568814,631
768482635,551
477014025,-1
18001700,320
728493189,-1
523766625,-1
884473695,-1
968259653,-1
95133961,-1
830693563,31
1155247007,-1
915341434,-1
891318689,-1
616294549,-1
1042986556,84
588737965,-1
1127743063,649
1099352182,-1
743262012,543
177191545,-1
878303695,-1
593410776,-1
1123325480,106
457182599,-1
475464740,-1
895605368,-1
131512759,287
1117116784,-1
41426715,312
132282024,-1
145820992,-1
957284648,-1
689464469,138
1131068778,-1
22426018,319
1185945802,665
1155853285,113
88775340,-1
6594700,-1
13722703,-1
30337989,-1
1147713303,-1
928708857,-1
1110798996,-1
790901023,555
1009196777,-1
40870660,312
450305430,-1
1132818427,650
862455914,-1
342670106,-1
73118731,-1
411397121,464
55091957,-1
1134259656,-1
237140164,419
611714465,156
768719401,551
195310886,404
46236770,-1
1025554779,619
68484619,306
432153130,-1
30691539,-1
412529464,-1
994251007,-1
74158016,-1
672066697,-1
1088886065,-1
334523150,-1
466937158,-1
1094121304,639
876040916,583
807758604,560
1137436455,651
548379969,171
179112321,274
1055995612,-1
155368557,-1
1215288114,127
1127907248,107
1070273651,90
449650767,195
642458142,516
1211042091,670
807545963,560
1054394539,-1
36588566,-1
524676222,-1
908199798,-1
823426367,30
142691942,-1
178105663,398
553293080,-1
1006644493,-1
200941233,407
315607928,236
1229701933,-1
134519154,-1
1202200469,668
950678384,61
293543046,242
20119804,-1
329116975,-1
152137040,-1
987343094,337
455262176,-1
460537543,475
1122046060,-1
678415722,141
915463143,-1
635673861,150
982212073,-1
895196103,-1
904741369,-1
341104627,-1
886246976,585
225291331,-1
1233927067,677
767029920,14
59969931,-1
598477475,504
212618393,262
390363371,460
779853295,18
25570334,-1
984272960,-1
1222880377,-1
464793463,-1
720759895,-1
117946308,290
419721455,-1
446602102,-1
476282460,-1
1133506715,-1
664133823,-1
1059707827,629
64107428,-1
39588999,-1
90063633,-1
1103381460,-1
1046248904,-1
1005778737,612
451852035,194
1074450861,-1
4948227,-1
311949124,440
1162375467,115
692305618,-1
472765231,478
932639370,593
539113059,492
293606499,-1
810340507,-1
645221211,148
981636208,605
240566492,255
1003500663,73
126993263,288
259184634,250
429257082,467
56024635,309
938506540,595
409706163,-1
1202604300,668
1042476978,84
595373240,-1
1130207386,-1
656647455,146
1027042130,345
321808503,-1
469249278,190
1169638919,-1
307537139,238
265245147,-1
902597294,48
950313029,-1
677131686,-1
679214969,-1
73630562,-1
712438326,-1
18855462,375
34759822,-1
969433259,66
925048664,-1
426577509,467
1044461579,84
761635292,548
1178796554,-1
678325399,141
925527501,-1
266653805,426
739337304,6
221197,-1
1222514465,673
76278720,-1
741527717,542
144754142,-1
673816943,-1
831206428,568
422011020,466
264556571,249
19173561,-1
891473048,45
55745086,-1
352833104,226
13675318,321
739577462,6
905820738,49
242256437,-1
850424865,-1
1050453099,-1
798608406,23
991336071,70
759553611,548
604825915,158
445637601,198
717111218,534
617917621,-1
464134803,-1
950401364,61
1134462964,-1
898308307,-1
484092040,480
252021107,-1
1188462933,341
144004672,-1
232972872,-1
584601819,500
774306729,-1
611292163,156
62924110,-1
722626423,536
880979801,-1
272638304,248
1094370711,-1
327419767,-1
1061922963,88
1131944629,-1
106897089,294
271652185,248
191730494,270
852619039,-1
1097337854,640
1059635469,-1
828409384,567
1093136396,638
35376688,315
677170754,141
555832962,495
85013811,683
328167188,445
137860614,285
229457794,-1
17078701,376
309206832,439
286552333,244
1166128299,659
336152652,231
884955533,-1
1080777448,93
628108411,513
423078773,466
310834550,-1
245720891,422
68182838,356
494467644,482
650370964,-1
1131360612,-1
893496146,-1
1021997783,618
1193097470,-1
1093846788,98
884380536,-1
943301698,596
1210183758,-1
1062494537,88
694384034,-1
448659624,472
285869159,244
433356260,203
734609477,-1
1094561478,-1
406359652,-1
714619319,-1
950587093,-1
893937200,46
615592381,155
456728171,-1
427055421,-1
1166850734,116
881227121,-1
4731015,324
427732455,204
1229437441,-1
1106453675,-1
509580845,-1
984397567,606
853514282,-1
233475188,-1
1145748436,-1
155483666,-1
1051744649,86
809128331,-1
184233292,-1
1085632906,-1
837618366,33
931398445,-1
73384809,-1
701813843,135
897663837,-1
225976311,-1
565296677,169
56795650,-1
857165433,-1
945923504,60
794800752,-1
1085504050,-1
826561401,-1
112072747,-1
807120192,-1
110458824,372
267312998,-1
682454857,-1
110212156,293
72428781,-1
806380205,559
425873235,-1
469909280,190
878552503,40
114920593,373
211597054,262
654255763,-1
727552333,-1
642489361,149
156400462,390
33995790,366
59866292,357
408909699,463
557422970,-1
126956826,-1
615927817,509
875704887,-1
969372247,66
16597636,-1
718052948,-1
664875663,-1
1213192864,-1
584103996,-1
284920715,432
460801958,475
1015725051,-1
1097293252,640
1152593948,654
723788416,-1
154349861,-1
224662236,-1
158344751,280
605879688,-1
576639949,165
1070744320,-1
918583173,52
771237823,-1
279099435,246
667692167,144
608259190,157
1126170959,-1
165524544,393
683585420,-1
1006300521,-1
814597773,-1
980958636,605
820945134,-1
341861089,230
199724644,-1
669730926,-1
377428516,-1
293123071,-1
1061411372,-1
612115738,-1
350132782,-1
250049929,253
461201889,475
540169202,492
275838761,247
235928612,256
198085132,268
555940143,-1
1011689964,-1
1070563978,90
578046916,-1
586913821,-1
834264380,32
969560051,-1
159963560,-1
940118088,595
41928536,-1
447515033,196
1212044385,-1
1076936523,-1
1187619116,-1
1033165268,-1
613754775,-1
27959870,-1
1151472814,654
1215582908,-1
737654635,-1
259347437,250
722495531,536
618751808,510
1192111966,-1
927211389,-1
443270860,-1
267064445,-1
347256134,-1
1039460060,83
921329540,590
1156681388,113
648278448,-1
1218528505,-1
214612563,-1
592901819,-1
1019972426,617
455501019,474
1010521891,-1
1200764150,-1
1199065906,667
185608597,272
185825747,272
158286222,-1
1033127649,82
895540262,586
890647815,-1
269619435,-1
401087436,-1
923106090,-1
896054854,-1
192551836,-1
837383513,569
184552458,-1
961570421,-1
811616724,-1
842352509,-1
160012594,-1
300562464,240
990669833,-1
421635817,-1
488975702,481
810850516,26
996090124,-1
647184748,148
623380080,-1
947064988,-1
853849533,36
375395540,219
446839231,197
465551779,476
161179732,-1
146979530,346
1186852521,-1
37580168,364
223550084,-1
957069066,-1
405091695,-1
597306463,-1
106508292,294
748078452,9
861886819,577
338709811,447
1173592960,-1
510106949,485
901589297,587
510395724,485
452713844,194
394411966,-1
146274880,389
1097291346,-1
318990171,235
873651659,-1
1107210075,-1
1143398275,111
193749072,-1
596033117,-1
1093379836,98
37428470,313
745340321,7
711436748,5
299445785,437
831147391,31
121145989,374
1085982260,-1
1032231861,-1
174574694,397
1196771758,-1
276513034,247
273592785,428
957877352,-1
1094546084,639
81960778,-1
1101066999,642
468888250,190
100944136,-1
834166607,32
1226812740,130
402547703,-1
990459089,70
747194624,544
702968059,135
1088862766,96
931657521,680
885512849,43
992755686,-1
890727159,45
1116990859,-1
1127446955,649
137179859,285
1225996790,675
283622537,-1
421425752,-1
901419980,-1
848138725,573
876789488,40
932300688,-1
946190943,60
167537706,394
310561131,-1
239061787,420
235628461,-1
39148313,-1
58949672,-1
644070397,-1
1115933934,-1
1093842360,98
449089289,-1
196934175,405
9241302,379
411409605,464
852937779,36
552703598,-1
888658803,44
1128534029,-1
1209811735,-1
138349938,-1
1198389286,124
802042048,558
53485795,359
504410919,-1
322323136,-1
578187434,-1
994924536,-1
977585415,604
22512161,-1
845504479,572
590734540,-1
208866852,410
842601360,33
440362034,200
224437289,-1
289853136,340
485874089,-1
1120389182,-1
873388560,40
987353460,-1
975296451,-1
292876865,243
371732703,-1
969723121,66
382665356,-1
532257916,-1
10711834,-1
479137124,188
356856567,225
888006352,-1
1189559458,122
237199851,419
97531885,354
973372997,603
1207030622,-1
470187091,477
1231366573,676
216248196,-1
432573550,-1
959830672,-1
122780071,-1
103517987,295
342986355,-1
167394065,-1
74138017,-1
931065998,-1
928266259,-1
321870610,234
134483094,385
279002627,246
406478774,209
646416806,148
789576721,20
855729868,576
92929819,299
325060815,444
955734954,62
877887130,-1
10022587,-1
96170465,-1
1078969713,-1
710604679,-1
507208679,-1
696529484,-1
194981649,-1
812469638,562
765322303,14
1087006763,-1
690179651,528
784030441,19
750392117,545
634459191,151
747918802,9
484056983,-1
422015928,-1
148427859,-1
20822760,-1
421819978,-1
708549128,-1
105304625,-1
1232596050,-1
762949398,13
125790555,-1
736359220,540
85829175,349
82845740,-1
1018608348,78
957389987,63
555945660,495
999531978,611
306965157,-1
1211100036,126
1234443354,677
549237746,-1
759860954,-1
205508754,-1
492696116,-1
870902522,-1
207526785,409
861969081,-1
1231570966,-1
1165880462,116
997784389,72
885933834,-1
317401836,442
1231967447,-1
11517043,378
474474620,-1
950530511,598
905655289,-1
259531184,-1
663594291,145
405624667,-1
684155905,527
1120871194,647
249815891,-1
653815710,-1
382314947,217
1037667922,-1
252100139,424
761613431,12
1065763127,630
323077129,-1
544655125,-1
1228655698,131
455602075,-1
521978266,488
482244002,479
1072004201,-1
71026716,304
536153085,173
270391539,-1
794079288,556
684573381,-1
69008037,356
579602602,-1
990978133,609
80296645,-1
111749012,372
1210600842,670
501123552,-1
708375866,-1
1116786999,-1
462447349,-1
742154313,-1
321224423,-1
1062961093,88
283395995,-1
708376202,133
342456632,448
793382677,-1
469905143,-1
1079431533,634
588105173,-1
736537893,-1
66355987,356
163575976,-1
1042477142,623
276392221,-1
539724130,492
790442864,-1
1095411854,-1
447480550,-1
1039562314,-1
1207807961,125
217052563,261
264061220,-1
448795585,-1
771614386,15
677855973,526
851091537,575
292061277,243
847113181,572
257908935,250
394604668,-1
297909870,-1
229237692,-1
926213080,-1
254906929,-1
1085422569,-1
378783562,-1
240942008,420
581046359,499
738273002,541
1068302886,-1
180580702,-1
790071042,20
637551141,-1
192095122,-1
706716735,-1
674356505,-1
898474260,-1
1005387686,74
1155942293,113
1002002046,-1
948822707,598
884762111,-1
466165795,-1
1189266752,341
1153663696,655
1158990510,-1
633789515,-1
405758131,462
1090891601,-1
1088344129,-1
1025788918,-1
197748838,406
821041494,-1
16400318,-1
402014207,-1
577950839,498
794266200,21
562818636,496
743220124,-1
1198615948,667
649320591,-1
567076308,-1
160686749,-1
77385412,-1
416523601,-1
373893643,-1
962277511,-1
48898204,360
902332511,48
615613250,-1
12801470,-1
214234899,-1
159126666,347
559790998,-1
912715798,589
144470797,388
558754165,-1
619642009,-1
566600099,-1
796982964,-1
301570041,-1
578292157,498
296608327,436
373258640,220
1063940659,88
1180043900,120
143154289,-1
509034647,-1
679782174,-1
142033272,284
300084291,-1
935700598,-1
170228993,395
925597125,-1
1100922622,-1
146154998,389
462986348,-1
1116572001,646
494019595,-1
621763600,154
1109402591,-1
1132998959,650
994929954,-1
1116680070,646
440214826,329
93291786,-1
225527890,259
101567323,-1
627162722,-1
869087918,39
615779472,509
39306954,312
1174031370,662
704770723,533
1079569711,634
735483414,-1
856465520,576
749144387,9
329936792,-1
257560956,-1
742796300,-1
521775184,488
860799658,-1
316088181,441
1085252711,-1
642362827,149
14465237,-1
1188355818,-1
262483415,-1
1221810711,-1
310987745,237
445281103,472
49516448,-1
249854445,-1
222933109,-1
187982150,-1
991110253,70
532702662,-1
69670153,305
464361418,344
1170924643,661
510700934,-1
551032642,493
350903253,-1
183899745,273
1031339117,621
1200400610,-1
202700189,-1
487814001,-1
1215695547,671
994360260,71
738988453,-1
304353376,-1
801962738,558
107078409,-1
892449122,45
548867821,-1
1005178766,-1
1212906635,-1
1019371783,-1
3656555,380
641446315,-1
209168944,410
113395159,-1
1002763026,73
809797407,-1
486412462,-1
1157160085,-1
628764983,-1
730492514,-1
747551895,544
584402496,500
1079879293,634
806168327,559
792720723,556
974701908,603
662369585,-1
275122329,247
289662948,-1
166934229,-1
538646332,173
734211981,539
131655517,-1
18379307,320
1064511339,88
1066984012,630
842352787,571
78329046,-1
304156443,-1
1050086427,626
33593255,366
1226576305,130
441731384,-1
1006502545,-1
15648898,-1
909410801,-1
69910360,-1
202957804,266
842409546,571
695260559,679
44812459,-1
1109389162,644
491134163,186
251502755,253
180016517,274
550639610,493
634743572,330
473156037,-1
423822731,-1
1147212227,653
989301807,-1
1064091790,88
708379809,-1
572389165,-1
829830764,31
283016112,245
722606433,682
762775275,13
134139877,286
1150495195,-1
560332374,-1
732826358,-1
447856892,472
706412995,-1
459280027,-1
98968282,354
225343196,416
917858729,-1
462239109,-1
1184313617,-1
1189143947,-1
571223491,-1
323996898,-1
242528375,-1
1075680007,-1
121043188,-1
694417484,529
444618344,-1
603859968,-1
862518655,577
140613598,-1
806645735,-1
420014675,206
804923936,25
481744171,-1
548037371,-1
353079831,-1
1087196391,-1
96851159,-1
177845150,398
730912883,-1
474843531,-1
900553705,48
40103249,-1
458844075,-1
159915398,-1
310705682,-1
673116451,-1
926379917,-1
416411986,207
35691118,-1
800903186,-1
1040090355,-1
470505673,477
689740936,528
126829251,382
551302703,-1
369161014,-1
1186044366,-1
334427936,-1
720865661,-1
228921412,-1
1134900267,-1
87146308,300
1128427667,-1
138139524,-1
912286845,-1
1041727464,623
797678026,557
91034851,-1
251410428,424
683188062,-1
769273341,551
549021700,-1
68599047,306
1043844531,-1
230400473,-1
349562477,449
168839333,-1
402855614,462
712674581,-1
882734330,-1
213392980,-1
476729707,-1
80703996,-1
247940281,-1
449707472,-1
673653054,-1
4899340,380
1103496954,-1
992465766,-1
198504514,-1
593696177,-1
1084800984,95
699820954,136
739436117,-1
296201860,-1
823821719,565
1053198233,627
1228561493,-1
476998302,-1
1065211704,-1
54342980,359
1137992340,-1
757379736,-1
720613635,-1
596983786,504
226549489,-1
726139141,537
989027136,-1
1112004374,645
238814033,420
647776254,-1
926118268,-1
1043072224,84
611060473,507
1011976413,614
412992298,208
134014987,679
716883779,3
705977308,134
983147621,331
150536972,-1
255193143,251
177180605,275
562963972,496
859431505,-1
239559103,255
1018868458,-1
1082490942,-1
955660274,-1
44690733,362
569612202,-1
135754431,-1
